Campaign_Name,Channel,Spend,Impressions,Clicks,Conversions,Revenue,Start_Date,End_Date,Campaign_Type,Region
"Salas, Williams and Bruce",TV,1484.69,85797,2868,159,7494.39,2024-06-09,2024-08-06,Retargeting,India
"Adams, Wilson and Hampton",Social Media,2327.75,146711,10446,1237,88445.57,2023-04-19,2024-06-25,Retargeting,Europe
Clark-Scott,Search Engine,2972.77,170268,13207,3605,228284.69,2024-08-05,2024-09-11,Conversion,South America
"Graham, Henderson and Schmidt",Radio,3682.35,377740,7030,732,52872.35,2024-09-13,2024-10-11,Retargeting,Europe
"Wallace, Watts and Richardson",Social Media,10378.45,191176,12263,2865,21228.36,2024-10-29,2024-11-17,Retargeting,South America
"Moore, Salas and Lopez",Email,306.69,17797,1613,193,6798.32,2022-04-12,2022-06-07,Conversion,Europe
Vasquez-Young,Radio,3142.27,225009,9524,576,7281.14,2022-01-03,2023-07-22,Retargeting,India
"Lynch, Edwards and West",Search Engine,2141.14,111524,12815,2970,48472.68,2023-11-27,2024-09-18,Retargeting,Asia
"Cook, Holt and Harris",TV,1761.15,106863,4530,406,30379.11,2022-08-09,2022-09-18,Awareness,India
"Duran, Gibson and Tanner",Search Engine,1229.49,83631,8563,943,59150.56,2024-03-25,2024-03-28,Awareness,India
Mcdonald-Armstrong,Search Engine,1441.32,74011,3837,481,40050.96,2022-06-13,2024-06-03,Conversion,Asia
"Liu, Lee and Woods",Search Engine,1650.11,96373,4200,1094,13205.09,2023-08-27,2023-08-30,Conversion,Asia
Johnson-Ortiz,Social Media,3144.54,139852,9433,887,86576.05,2023-05-14,2024-01-17,Retargeting,Europe
Flynn LLC,Radio,5267.46,338242,7411,400,44688.15,2022-10-01,2022-10-06,Awareness,India
Taylor Group,Email,511.73,22932,2458,273,21374.46,2022-04-06,2024-01-14,Awareness,Europe
Berger and Sons,Email,776.94,46480,5827,888,14023.81,2023-09-05,2024-08-30,Awareness,South America
"Smith, Snyder and Hobbs",Radio,2060.17,96728,4555,193,11928.83,2023-08-07,2023-10-05,Conversion,India
"Morgan, Jones and Hutchinson",TV,4737.74,297754,4629,297,29004.41,2022-05-04,2022-07-22,Retargeting,South America
"Coleman, Santiago and Anderson",Social Media,2287.01,181084,5983,791,45265.46,2022-12-09,2024-07-02,Conversion,Asia
Smith and Sons,TV,4081.09,476332,12018,305,28095.61,2023-12-18,2024-06-22,Retargeting,India
Carrillo-Jenkins,TV,7183.6,119672,2771,171,1741.61,2022-05-17,2023-02-04,Retargeting,Europe
"Alvarez, Perry and Nelson",Search Engine,3688.39,133512,15653,3315,299944.26,2022-10-14,2024-09-17,Conversion,India
"Martinez, Stanton and Schultz",Email,954.89,34281,2338,623,63800.06,2023-02-12,2024-08-19,Awareness,Asia
"King, Harris and Suarez",Email,336.15,13151,1852,343,13231.86,2024-07-11,2024-08-06,Retargeting,Europe
Taylor-Drake,Email,693.48,29271,3084,410,9736.18,2022-04-18,2023-12-07,Conversion,North America
Rodriguez Ltd,Search Engine,3584.22,242515,15820,2381,227340.6,2021-12-22,2024-01-12,Retargeting,South America
"Andrews, Krueger and Hancock",Radio,3466.14,215067,5586,632,13343.68,2024-07-02,2024-11-06,Retargeting,South America
Hale PLC,Search Engine,2590.5,107952,11701,2515,115716.1,2022-09-23,2024-10-24,Conversion,Asia
Garrison-Johnson,TV,1962.73,173153,5418,430,12644.96,2024-09-27,2024-10-24,Awareness,South America
Delgado and Sons,Radio,1397.19,78404,1966,59,5397.78,2022-01-31,2022-07-31,Conversion,India
Wilson-Nelson,TV,3099.72,238235,3961,291,18940.28,2024-02-21,2024-09-03,Conversion,Asia
"Rodriguez, Johnson and Vazquez",Email,515.73,22379,999,357,26768.86,2023-08-12,2024-03-10,Retargeting,North America
"Herrera, Maddox and Schneider",Radio,3943.47,267348,9726,1013,75539.5,2023-12-05,2024-09-03,Conversion,Asia
"Banks, Rollins and Lee",Radio,1992.63,141196,8280,706,15042.44,2024-09-30,2024-11-16,Conversion,Asia
Cole Group,Radio,2924.01,224118,7174,760,28385.86,2023-01-04,2024-03-30,Awareness,South America
Morgan-West,Social Media,2747.91,189266,8032,1146,81026.27,2022-01-22,2022-05-24,Conversion,North America
Sanchez-Dominguez,Radio,1189.11,123046,1098,86,3317.49,2024-05-24,2024-11-09,Awareness,Europe
Luna-Arnold,Social Media,1476.77,83376,6504,413,47296.94,2024-02-18,2024-10-23,Conversion,South America
Yu-Johnson,Social Media,2659.46,167845,11224,2265,232697.87,2023-11-10,2024-07-05,Conversion,Europe
"Brown, Whitehead and Dennis",TV,2150.85,145928,5290,345,36658.42,2023-02-07,2023-10-07,Conversion,India
Banks-Nguyen,Radio,3494.34,343214,19680,1246,72203.72,2023-12-04,2024-06-12,Awareness,Asia
Glover LLC,Radio,1152.04,57878,1110,27,2211.74,2023-10-12,2024-11-11,Conversion,North America
"Farley, Hall and Burgess",Radio,1416.38,80194,955,61,1372.4,2022-09-29,2023-03-14,Awareness,India
Robertson and Sons,TV,4849.98,356419,10013,521,5911.8,2023-07-10,2024-02-19,Retargeting,India
Downs-Nguyen,TV,2993.55,232016,9293,178,15021.99,2022-10-16,2023-05-01,Conversion,North America
"Peters, Brown and Mcguire",Email,707.75,38241,3161,558,20075.5,2022-01-05,2024-04-25,Conversion,South America
Cole PLC,Social Media,2567.41,240748,16407,2116,225989.43,2021-12-23,2024-08-09,Awareness,South America
"Martinez, Barnes and Jones",Social Media,715.59,49332,4128,803,8053.76,2023-11-30,2024-06-16,Conversion,India
Porter-Thomas,Email,675.67,39075,2648,437,29870.78,2023-05-28,2024-06-09,Conversion,Europe
"Noble, Paul and Alvarado",TV,3204.36,276829,8779,200,19560.54,2023-02-04,2023-08-27,Awareness,India
Allison Inc,Social Media,2977.08,174050,14453,2727,173761.01,2024-08-10,2024-08-29,Conversion,India
"Carey, Roberts and Rivera",Radio,2466.12,188309,5459,424,4756.56,2023-03-12,2024-02-13,Conversion,Europe
Burns-Campos,TV,4050.73,319461,8552,220,14144.47,2024-11-01,2024-12-09,Awareness,India
Smith Ltd,Email,489.79,23103,1952,457,30998.07,2022-10-08,2024-03-29,Retargeting,Asia
Ford Group,TV,4650.66,355553,20748,731,74246.13,2024-01-17,2024-10-30,Conversion,Asia
"Hurley, Lara and Lopez",TV,1031.84,69940,3311,137,7193.18,2022-03-19,2023-12-22,Awareness,Europe
"Shaffer, Wilson and Kline",TV,1085.38,74321,2833,145,4695.02,2022-02-15,2024-11-18,Retargeting,Asia
Lawrence-Wilson,TV,5000.93,455910,6129,266,20585.71,2023-09-13,2024-03-29,Conversion,North America
"Reynolds, Torres and Jones",Search Engine,2065.5,118797,6653,942,10516.92,2024-09-06,2024-12-09,Conversion,Asia
Harris and Sons,Social Media,2712.1,138497,10503,1198,64854.8,2023-04-16,2023-04-20,Awareness,Asia
Mitchell LLC,Email,753.2,39776,5436,1471,21957.95,2022-06-23,2022-09-01,Retargeting,India
"Davis, Murphy and Mcbride",Email,249.88,10327,1464,275,9892.89,2023-01-27,2024-05-08,Awareness,India
Davis-Miller,Social Media,2555.5,134591,5549,657,20664.88,2023-10-26,2024-02-22,Retargeting,Europe
"Fox, Nelson and Jenkins",TV,4295.73,269622,14481,1305,25242.53,2023-12-20,2024-10-24,Awareness,North America
Byrd and Sons,Email,343.85,15208,2075,208,5411.68,2023-10-22,2024-09-16,Retargeting,Europe
"Powers, Hurley and Potter",Email,255.41,11842,961,199,12600.17,2024-10-14,2024-10-25,Awareness,Europe
"Calhoun, Jackson and Martin",Search Engine,3567.42,181421,12451,2027,40824.49,2023-10-05,2024-01-11,Awareness,India
Haynes Group,TV,1984.4,156130,2176,164,10643.16,2024-07-29,2024-10-26,Conversion,North America
Brown-Carter,Radio,2848.85,228089,6610,157,12856.17,2021-12-26,2022-07-14,Conversion,North America
Pena LLC,Social Media,1115.63,79527,8091,1115,59983.43,2022-08-20,2023-11-02,Conversion,South America
Rogers and Sons,Radio,4716.51,337171,14117,766,34459.9,2022-03-01,2023-07-08,Conversion,North America
Snyder LLC,Radio,2953.45,271166,15446,881,18139.0,2022-04-07,2023-09-06,Awareness,India
Zamora and Sons,Radio,19005.8,395861,16472,934,22067.84,2022-06-19,2022-10-20,Conversion,Asia
Gill-Wright,Radio,2723.13,208229,3935,225,12811.08,2023-10-15,2024-05-23,Conversion,South America
Hudson-Sharp,Radio,3343.06,275594,5043,333,27613.08,2023-10-31,2024-11-22,Retargeting,Asia
"Carter, Mosley and Rodriguez",Search Engine,3852.1,134954,17069,3036,145976.27,2022-11-06,2023-11-20,Conversion,North America
Elliott-Peck,Search Engine,3216.97,202988,18963,3412,70471.61,2024-03-21,2024-08-11,Retargeting,South America
"Patel, Sims and Mercado",TV,2800.67,224684,6304,283,17935.2,2024-01-01,2024-11-08,Awareness,Asia
Miller-Salazar,Search Engine,1610.18,79901,4821,825,57041.7,2022-05-02,2022-06-26,Conversion,South America
"Jackson, Harrell and White",Email,615.18,25346,2729,941,27532.83,2023-06-08,2023-12-02,Conversion,Asia
Anderson-Trevino,Radio,2651.87,214814,9890,660,18583.92,2023-10-16,2024-01-13,Awareness,Europe
Morales PLC,Search Engine,2955.19,198427,12099,1196,26236.15,2023-05-08,2024-10-01,Awareness,India
Harris LLC,Search Engine,3569.42,151207,10578,3012,243752.73,2023-04-23,2024-03-02,Conversion,Asia
"Cook, Rogers and Burnett",Social Media,2645.16,212183,10933,1870,142621.81,2024-04-18,2024-12-12,Conversion,North America
Gutierrez and Sons,Email,2587.46,31646,2115,526,4135.46,2023-11-08,2024-09-15,Awareness,North America
"Weber, Gray and Allen",Search Engine,3295.56,155989,15902,2472,48971.52,2024-04-24,2024-08-19,Awareness,Asia
"Douglas, Evans and Jackson",Social Media,2667.64,95564,8092,1175,110757.7,2022-01-09,2022-02-18,Retargeting,Asia
Torres PLC,Radio,4128.92,310241,11637,845,12158.23,2022-12-02,2023-12-02,Retargeting,South America
Kim-Mack,TV,4679.91,204822,11465,261,11311.08,2024-04-21,2024-10-29,Conversion,South America
"Boyd, Romero and Kelley",Radio,3210.31,202216,7639,313,7851.84,2023-07-13,2023-08-19,Retargeting,India
"Hayes, Baker and Smith",Radio,4041.7,339109,7381,331,21549.58,2022-02-21,2023-11-18,Retargeting,India
Roberts Group,Radio,2386.76,182551,3290,279,26935.0,2023-10-27,2023-11-06,Retargeting,Asia
"Rivera, Brown and Figueroa",Email,512.65,19304,1121,282,23312.65,2024-05-06,2024-06-25,Awareness,North America
Thomas Inc,Radio,3935.59,298761,4798,262,20122.67,2023-08-26,2024-01-21,Retargeting,South America
Moses-Brooks,Radio,2967.64,290287,4487,120,9660.56,2023-05-10,2023-11-15,Awareness,North America
"Reed, Branch and Armstrong",TV,2440.99,191154,9099,665,46051.81,2023-02-11,2024-02-14,Awareness,North America
Andrews Inc,Social Media,2233.56,150875,6410,951,57698.32,2022-01-07,2023-01-27,Retargeting,Europe
Blair-Andrade,Radio,2212.91,230680,4058,117,5291.71,2023-04-07,2023-06-20,Conversion,Asia
"Jacobs, Williams and Williams",TV,4488.52,410236,17226,535,40595.95,2023-07-10,2024-06-24,Awareness,Asia
Elliott LLC,Radio,3604.83,234779,9554,542,11914.73,2022-07-03,2024-05-13,Retargeting,Europe
Garrett-Williams,TV,4419.59,505753,16611,1305,31750.34,2023-05-29,2023-10-07,Retargeting,Asia
"Cook, Gilbert and Stuart",Search Engine,1536.0,115496,8712,1389,123003.71,2022-10-24,2023-05-12,Awareness,Asia
Hall-Clark,Radio,4729.44,352793,12839,429,35559.95,2022-11-21,2024-04-12,Retargeting,North America
Gonzalez LLC,TV,1813.15,141241,6370,479,32806.99,2024-10-25,2024-11-09,Conversion,India
Perez Ltd,Email,941.76,40117,4079,446,32924.46,2022-05-13,2022-07-30,Conversion,North America
"Harper, Jimenez and Ortiz",Radio,1126.24,59565,2062,54,3368.02,2024-11-07,2024-12-17,Awareness,India
Harris-Olson,Social Media,994.82,62506,3901,246,9914.42,2024-01-13,2024-07-03,Retargeting,Europe
"Schroeder, Smith and Welch",Radio,3166.64,251837,7240,376,15174.11,2022-03-23,2024-10-07,Awareness,North America
Wyatt-Gordon,Email,218.43,14450,1579,315,23386.43,2023-04-15,2024-05-21,Conversion,South America
Hamilton Inc,TV,2376.33,185047,7352,356,8444.95,2022-05-06,2023-02-02,Retargeting,South America
Fowler Group,Radio,4714.75,271421,15692,1181,66802.38,2023-10-25,2024-11-06,Awareness,Asia
"Cooper, Page and Gill",Search Engine,2248.73,132708,11651,3269,77297.65,2022-03-10,2022-08-29,Awareness,South America
Medina Inc,Search Engine,1917.37,109159,7267,2007,117383.34,2024-03-05,2024-06-06,Conversion,North America
"Cunningham, Simmons and Kelly",Search Engine,4260.61,197621,13438,3360,38891.15,2022-05-17,2024-11-01,Conversion,Asia
Davis-Cummings,Radio,2489.7,254307,4545,109,5480.95,2024-11-06,2024-11-28,Retargeting,Asia
"Flores, Alvarez and Rivera",Social Media,2059.06,138038,4607,497,32284.8,2021-12-21,2022-03-22,Awareness,South America
Hawkins-May,Search Engine,1311.41,52272,7093,905,52045.09,2022-11-05,2023-08-01,Awareness,Asia
Allen-Dunn,Search Engine,3861.05,229397,22958,4498,93950.3,2021-12-15,2022-09-04,Awareness,India
Hicks-Collins,Search Engine,2706.67,179084,17173,3149,49206.69,2024-01-15,2024-09-17,Conversion,Asia
Duncan-Rasmussen,Radio,2209.81,190497,3043,99,2623.59,2022-12-17,2024-04-09,Conversion,India
Lamb-Smith,Email,976.07,54029,2858,282,20768.49,2022-08-04,2023-01-30,Conversion,North America
Ochoa Group,Radio,4633.26,278730,7948,1025,27459.04,2022-12-02,2023-04-27,Retargeting,Asia
Benson LLC,TV,1204.22,99394,2365,81,4850.36,2022-03-20,2024-02-12,Awareness,Europe
Franklin-Valdez,Social Media,2198.07,89910,4071,304,16199.66,2022-05-21,2024-07-09,Awareness,Europe
Wright-Baldwin,Email,780.65,46388,7511,1710,138790.88,2022-10-28,2024-09-03,Retargeting,South America
Carney-Rivera,Email,275.29,12882,864,121,8740.89,2023-03-18,2023-04-07,Awareness,South America
"Lewis, Haas and Smith",Search Engine,3537.95,226275,16758,2310,22118.34,2024-04-09,2024-05-17,Awareness,Europe
Edwards-Chang,Radio,3836.52,166296,6674,200,16719.94,2024-02-08,2024-08-03,Retargeting,South America
"Mooney, Mills and Hutchinson",Social Media,2269.15,151436,5598,485,30880.78,2023-05-23,2023-10-24,Conversion,North America
Winters-Hall,Radio,2913.95,281396,9812,825,23768.28,2022-09-08,2022-09-15,Awareness,South America
Davis LLC,Search Engine,2229.4,177972,6695,1939,30398.94,2024-08-11,2024-12-14,Conversion,India
Perry-Torres,TV,4436.03,447747,6411,365,31032.71,2022-03-20,2024-04-02,Retargeting,Europe
Williams Inc,Social Media,1473.82,108913,5544,831,62560.39,2024-04-02,2024-05-17,Conversion,North America
Lee and Sons,Email,503.9,14471,1322,160,1582.07,2024-05-18,2024-06-29,Retargeting,Asia
Arnold LLC,TV,4901.63,426770,9406,761,15000.4,2023-06-26,2024-12-17,Awareness,Europe
Warren-Orr,Email,640.39,29351,2177,355,28887.94,2023-04-27,2024-11-10,Conversion,Asia
"Vaughn, Pruitt and James",Radio,1718.8,151774,4947,331,7642.76,2022-12-18,2024-09-06,Retargeting,India
"Golden, Martin and Bush",Search Engine,3088.8,142871,7813,2424,140144.62,2022-03-13,2023-10-27,Conversion,Asia
Sanchez Inc,Search Engine,4881.63,110541,9538,1100,3837.54,2021-11-24,2024-09-27,Retargeting,North America
"Peterson, Mitchell and Ross",Radio,1376.31,93393,4016,294,10266.82,2023-01-06,2024-04-19,Conversion,North America
"Hill, Dyer and Murphy",Search Engine,3413.06,214140,9554,3161,164215.84,2022-09-04,2024-10-26,Conversion,Asia
Sims-Hall,Social Media,1869.52,109793,5111,322,17433.12,2024-09-30,2024-12-07,Conversion,South America
Garcia-Manning,Social Media,563.27,21644,1629,248,4579.84,2023-01-31,2023-09-26,Awareness,South America
Dominguez-Reed,Radio,3624.74,246656,11324,240,17059.35,2022-06-21,2022-09-16,Retargeting,India
"Fisher, Brown and Bush",Search Engine,2245.75,157446,13333,3244,152462.88,2023-07-06,2024-02-11,Retargeting,India
Smith LLC,TV,1559.9,75613,2430,212,20826.08,2022-08-08,2024-08-10,Retargeting,Europe
Romero-Taylor,Social Media,1124.78,61479,3785,277,30181.74,2024-11-06,2024-11-09,Awareness,South America
Sanders and Sons,Social Media,2659.59,134443,5498,429,22743.55,2023-03-28,2023-04-15,Conversion,South America
Jones-Allen,Search Engine,2475.97,98097,5597,1218,73848.65,2022-02-01,2023-07-11,Retargeting,South America
"Perez, Morales and Williams",Social Media,741.33,37043,2483,135,7756.52,2021-12-17,2022-05-27,Retargeting,Asia
Patel-Ford,Email,615.49,32110,2210,386,10104.84,2024-08-02,2024-09-26,Awareness,North America
"Chapman, Wood and Webb",TV,4335.84,351133,3400,102,2004.44,2022-12-14,2024-11-26,Retargeting,South America
Dodson-Campbell,Email,1009.37,47701,3817,634,50385.09,2022-03-17,2023-07-19,Conversion,India
Orozco-Wilson,TV,3049.07,223749,4948,568,6502.28,2023-08-30,2024-07-19,Retargeting,Asia
Ferguson Inc,Search Engine,1724.28,81680,7221,1207,28520.62,2023-01-15,2024-07-08,Retargeting,India
Wood-Haynes,Radio,3330.3,275117,11146,526,37547.64,2023-08-31,2024-01-03,Conversion,Europe
Moreno and Sons,TV,2643.62,262365,9517,183,15705.44,2024-07-31,2024-10-12,Conversion,North America
Crawford and Sons,Social Media,1352.2,87635,5100,671,34756.02,2022-06-16,2024-11-08,Retargeting,Europe
Spencer-Rivera,Search Engine,1511.2,76372,5306,753,22085.59,2023-12-03,2024-08-01,Retargeting,South America
Rodriguez-Grant,Radio,1669.74,141481,1535,155,11551.83,2022-01-20,2024-05-04,Awareness,Asia
"Jackson, Hughes and Martinez",TV,1966.94,207282,3964,375,3599.83,2023-08-15,2023-09-02,Awareness,North America
"Simpson, Taylor and Bryan",Email,731.06,36564,3511,547,13759.65,2022-01-21,2024-04-04,Conversion,Asia
Ross Group,TV,2469.36,158382,1364,71,1107.62,2022-03-21,2024-03-09,Retargeting,India
"Taylor, Collier and Wright",Radio,3501.35,171211,8855,782,39690.28,2023-05-07,2024-11-17,Retargeting,Asia
Williams Ltd,Search Engine,2020.58,109596,5278,962,18679.35,2022-09-10,2023-08-09,Awareness,Europe
Yoder-Young,Email,737.05,35682,3225,734,61355.65,2022-06-13,2022-08-18,Conversion,South America
Ford-Shepard,Email,841.18,62118,6378,1280,78962.64,2023-10-09,2024-06-16,Awareness,North America
"Vargas, Rogers and Reyes",Social Media,1207.36,66424,5607,461,14105.84,2023-05-30,2024-05-07,Conversion,North America
"Everett, Harrington and Mcmahon",Search Engine,1816.66,148756,12854,3475,196197.91,2022-06-14,2024-12-21,Conversion,India
Brewer PLC,Radio,1254.58,81793,3313,104,3303.94,2024-03-13,2024-06-25,Retargeting,South America
"Young, Burgess and Aguilar",Radio,4711.27,264701,9778,272,12412.04,2024-10-09,2024-11-13,Conversion,Asia
Walker-Ross,Radio,1061.9,51417,1120,64,2211.47,2022-11-05,2023-08-14,Awareness,Europe
Aguilar and Sons,Email,787.9,32261,2723,517,49815.2,2024-04-04,2024-12-05,Conversion,India
"Bauer, Walker and Roberts",Radio,14755.94,377431,15546,1220,5579.23,2023-09-22,2024-09-21,Retargeting,South America
Griffith Group,TV,4215.19,280035,4129,88,11242.66,2023-12-08,2024-03-27,Conversion,North America
Johnson-Johnson,Email,615.06,41580,5327,1239,81375.09,2024-06-11,2024-08-19,Retargeting,North America
Graham Ltd,Search Engine,1545.76,113193,8018,1160,38591.95,2023-06-06,2024-09-09,Awareness,India
Weaver PLC,Search Engine,3199.03,190867,21108,2996,282251.53,2022-01-22,2023-03-02,Awareness,Asia
Hatfield Group,Social Media,1109.17,85622,6278,554,17890.71,2023-08-13,2024-10-10,Conversion,Europe
"Collins, Baker and Silva",Search Engine,2325.13,129539,11258,1457,52012.63,2023-02-20,2024-06-01,Conversion,South America
Brewer-Chen,Search Engine,1278.43,55202,3636,392,18504.64,2022-06-22,2024-07-30,Awareness,India
"Price, Fisher and Hudson",Radio,3349.95,163496,2321,157,3865.78,2022-02-25,2024-11-21,Awareness,South America
Cunningham-Delgado,Social Media,2004.77,135930,4693,1058,71453.05,2022-10-24,2024-09-22,Awareness,Europe
Smith PLC,Radio,3272.34,180429,8172,211,21477.98,2023-01-15,2023-06-21,Conversion,South America
"Clark, Powell and Rose",Search Engine,1239.36,78173,4266,897,88618.1,2023-08-09,2024-07-17,Awareness,North America
"Palmer, Flores and Myers",Social Media,1268.35,86576,6684,970,90220.85,2022-07-31,2023-02-24,Retargeting,North America
Mckay-Maxwell,Radio,2547.19,255806,14421,891,38897.97,2022-10-25,2024-04-21,Conversion,Asia
Mitchell-Nguyen,Social Media,2003.53,22826,1016,74,2154.86,2024-06-11,2024-12-03,Conversion,South America
Burke-Edwards,Social Media,2409.39,94198,4213,592,58811.57,2023-11-10,2024-12-19,Conversion,Europe
"Glover, Carter and Wood",Search Engine,1418.15,93300,3092,931,31304.2,2022-12-22,2024-01-21,Awareness,North America
Adams and Sons,Radio,2578.97,176263,3860,225,20698.17,2024-02-05,2024-10-22,Retargeting,North America
Rodriguez-Ross,Search Engine,1885.97,101233,6462,1201,78331.5,2024-05-08,2024-06-23,Retargeting,South America
Warren-Lester,Radio,4516.25,227018,9143,666,7594.27,2022-01-13,2022-01-29,Conversion,North America
Nichols-Pope,TV,4092.95,240276,8066,148,9026.12,2024-04-19,2024-06-16,Awareness,Europe
Morales Ltd,Search Engine,3572.89,173420,10911,1550,105824.83,2022-07-25,2022-09-23,Retargeting,Asia
"Woods, Roberts and Reyes",Search Engine,2905.22,142142,17234,2688,132785.3,2024-09-22,2024-10-24,Conversion,India
Sanders and Sons,Radio,5410.9,367515,9999,172,18771.26,2024-07-14,2024-08-11,Retargeting,South America
"Moreno, Hodge and Stafford",Radio,4059.67,289690,10867,515,16359.6,2024-04-01,2024-08-15,Retargeting,North America
Schwartz LLC,TV,5295.16,448065,7270,795,53722.95,2023-04-03,2023-04-12,Awareness,South America
Krause PLC,Search Engine,2066.94,127995,10345,1118,71244.68,2022-02-10,2024-06-11,Awareness,Europe
Andrews and Sons,Social Media,1308.02,92183,2694,569,38667.97,2023-11-15,2024-11-21,Retargeting,Europe
Hernandez-Harding,TV,1275.3,72976,1192,44,1965.15,2022-03-06,2024-04-26,Awareness,Asia
Cruz-Simpson,TV,3854.22,325637,8134,585,16225.5,2023-04-25,2024-05-16,Awareness,India
Garcia-Morris,Social Media,2862.82,139798,8347,616,34843.96,2022-11-24,2024-03-24,Retargeting,India
Davenport Inc,Radio,3204.62,186247,7565,212,19946.77,2023-01-23,2024-02-01,Conversion,Europe
Smith-Hall,Email,288.41,12235,921,92,1717.44,2022-06-13,2022-10-23,Awareness,South America
"Turner, Farmer and Tyler",Email,232.36,13919,1341,270,24665.2,2023-05-23,2023-11-02,Awareness,North America
"Campbell, Ferguson and Edwards",Social Media,1394.0,63095,4379,922,76403.77,2023-06-11,2024-12-18,Retargeting,North America
Richard-Young,Social Media,2140.71,118080,8801,863,71147.13,2024-01-14,2024-10-25,Retargeting,North America
Larsen-Rowland,Social Media,647.94,37920,2901,466,12194.11,2023-10-12,2023-12-20,Retargeting,Asia
Phillips PLC,Radio,1475.54,80236,1149,33,511.43,2022-04-18,2024-05-08,Conversion,South America
Rodriguez-Tran,Email,840.99,47031,3635,1083,25446.85,2022-01-14,2023-03-20,Conversion,Asia
Powers LLC,Radio,2696.94,292302,3658,145,9065.02,2022-02-01,2024-03-10,Conversion,Europe
"Jennings, Leon and Brooks",Search Engine,1444.11,72836,4361,826,60716.52,2022-06-28,2023-12-14,Awareness,South America
Ferguson Group,Email,461.7,18982,2471,443,44326.07,2024-06-25,2024-09-03,Retargeting,India
Mitchell-Johnson,Radio,1993.85,180491,2581,215,9112.98,2023-09-19,2023-12-25,Conversion,North America
"Frederick, Barker and Gillespie",Radio,3618.59,310683,15272,760,27379.89,2024-06-25,2024-12-13,Awareness,North America
King-Castillo,Email,455.27,18863,1795,493,11089.85,2023-12-11,2024-12-11,Retargeting,South America
Blackwell-Brown,Search Engine,2144.87,135053,14246,3226,304503.45,2022-08-22,2024-02-18,Awareness,North America
Montes Group,Search Engine,1530.15,79316,4310,717,20459.49,2022-08-09,2023-04-04,Conversion,India
Benjamin Inc,Social Media,1226.05,81515,2796,160,3024.72,2022-01-01,2024-01-31,Awareness,North America
Mills-Rogers,Email,848.54,39282,4540,872,61474.0,2022-07-03,2023-12-23,Retargeting,Europe
Day-Cruz,Email,1010.62,34325,4691,863,80026.83,2023-07-20,2024-02-22,Awareness,North America
"Carlson, Mejia and Brown",Radio,4083.62,333829,6806,231,5937.31,2022-05-08,2022-08-23,Retargeting,Europe
Richards LLC,Email,415.51,20667,2913,887,54542.96,2022-01-28,2023-12-17,Conversion,India
Lewis-Estrada,Radio,3884.85,308381,9592,660,19035.88,2022-07-26,2024-03-16,Awareness,South America
Foster-Dawson,Social Media,729.61,44806,3705,460,23097.42,2023-02-22,2023-08-07,Awareness,Asia
Chase Group,Email,896.74,37599,4972,765,32664.84,2024-09-15,2024-10-13,Awareness,South America
"Harmon, Martinez and Riggs",TV,1809.35,151037,7268,481,35451.48,2022-02-24,2024-10-14,Awareness,North America
Moyer Group,Email,879.37,15086,897,109,1525.08,2023-08-29,2023-11-16,Awareness,Europe
Lewis-Hunt,Radio,3661.62,191175,5017,263,29977.47,2022-06-25,2023-09-06,Conversion,Asia
Gonzalez LLC,Radio,4183.29,342070,16913,1269,74444.03,2023-07-04,2024-03-10,Conversion,Europe
"Davis, Ortiz and Hayes",Social Media,1047.34,36421,2531,388,14324.6,2023-05-23,2023-11-08,Awareness,North America
Hale LLC,Search Engine,9912.23,140831,16859,3346,96763.94,2022-05-31,2023-02-04,Conversion,Asia
Campbell Ltd,Search Engine,3297.79,204707,14099,2597,168582.06,2022-06-20,2024-01-31,Retargeting,Europe
Parks-Walter,Search Engine,2130.72,165323,12224,3405,77298.53,2023-11-18,2024-07-21,Awareness,Europe
Lewis-Rivera,Radio,4624.24,304439,11514,283,16506.78,2022-07-17,2023-03-22,Conversion,South America
Ingram and Sons,Social Media,1227.44,87143,6669,506,24522.77,2022-03-16,2024-08-08,Awareness,South America
Young Inc,Search Engine,2051.93,131431,8484,1956,27607.03,2023-10-09,2024-04-25,Retargeting,Asia
Fernandez-Love,Radio,4699.14,404006,13914,1106,75952.02,2024-06-07,2024-10-02,Awareness,South America
Rivera and Sons,TV,2836.52,284011,12779,301,5954.7,2022-06-13,2022-10-14,Conversion,India
Wilson-Murphy,Radio,4198.71,331158,6931,248,9318.53,2022-03-30,2022-05-22,Retargeting,Europe
"Williams, Hernandez and Williams",Social Media,1624.96,122217,4454,599,9413.55,2022-11-19,2023-02-04,Conversion,India
Owens-James,Search Engine,1791.34,93641,6172,757,52323.07,2022-06-12,2024-09-06,Awareness,Asia
Thompson LLC,Social Media,1421.52,74150,2820,532,54952.0,2023-02-28,2024-01-28,Retargeting,North America
Hale Group,Search Engine,1290.52,63122,6164,999,61150.45,2022-03-20,2024-06-03,Awareness,Europe
Hebert Group,TV,8598.34,301570,9644,342,6518.13,2023-07-24,2023-11-04,Awareness,Asia
"Graves, Brown and Smith",Email,305.14,16216,1984,584,9685.93,2023-10-27,2024-08-26,Retargeting,North America
Torres-Walker,Search Engine,3162.9,170622,11549,2573,61511.57,2022-06-20,2023-12-17,Awareness,India
Fischer LLC,TV,2486.72,168717,9444,448,36551.35,2023-08-18,2024-04-01,Conversion,India
"Bright, Sherman and West",Search Engine,1067.81,45101,2272,390,10742.25,2022-02-16,2023-12-25,Retargeting,North America
